label	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48
0	0	0	0	5.261686	0.83798164	0	5.113797	5.3993454	6.44428	0	0	0	0	0	0	1.8340865	0.48613045	0	0	0	0	0.8265234	0	1.7399513	0	4.254442	0	0	0	10.599429	0	0	0	4.3258576	0	0	0	0	6.164324	4.411344	0.4512807	0	0	0	0	0	0	0
0	0	0	0	7.5446124	0	0	6.169505	5.1131287	5.621492	0	0	0	0	0	0	3.3427157	0	0.31126708	0	0	0	0	0	4.233324	0	5.8615994	0	1.1022086	0	12.99252	0	0	0	8.521575	0	0	0	0	10.930188	7.805652	1.6443774	0	0	0	0	0	0	0
0	0	0	0	6.258471	0	0	5.1693287	3.097268	4.1365857	0	0.44347402	0	0	0	0	3.2628212	0	0.85034	0	0	0	0	0	3.8798742	0	6.965937	0	1.4832098	0	11.325107	0	0	0	3.4726558	0.24576057	0	0	0	12.621601	8.683663	1.2410713	1.1496608	0	0	0	0	1.2686007	0
0	0	0	0	5.58588	0.011742488	0	4.9107	5.6209345	5.657702	0	0	0	0	0	0	1.8559406	1.2283057	0	0	0	0.76053876	2.5048404	0	2.2095757	0	2.3831096	0	0	0	9.509821	0	0	0	9.314364	0	0	0	0	4.031973	2.9488332	1.09862	0	0	0	0	0	0	0
0	0	0	0	6.1733756	1.2615296	0	5.431856	5.5021043	6.8593163	0	0	0	0	0	0	2.2384965	1.1332339	0	0	0	0	1.016756	0	2.6717515	0	5.431315	0	0.21536982	0	12.345183	0	0	0	4.0609035	0	0	0	0	8.396763	6.400325	0.43616349	0	0	0	0	0	0	0
0	0	0	0	5.4021974	0	0	3.7096276	3.0895674	3.951636	0	0	0	0	0	0	3.1446483	1.0354698	0	0	0	0	0	0	4.0650096	0	6.114778	0	0.8972241	0	10.200251	0	0	0	4.7120795	0	0	0	0	10.70143	8.637236	0.66753983	0	0	0	0	0	0	0
0	0	0	0	6.733495	3.005439	0	6.582773	6.639642	7.5468063	0	0	0	0	0	0	1.8620979	2.996725	0	0	0	0	3.7714362	0	2.7626154	0	4.7661586	0	0.09359083	0	14.225322	0	0	0	5.442076	0	0	0	0	7.6363997	6.6456084	0.6815428	0	0	0	0	0	0	0
0	0	0	0	4.7279263	0.3268959	0	3.3217254	3.1674445	4.403438	0	0	0	0	0	0	2.937962	1.4839735	0	0	0	0	0.16020918	0	3.4764411	0	6.3259354	0	0.45204064	0	9.886402	0	0	0	2.8789368	0	0	0	0	10.160885	8.447071	0.14428553	0	0	0	0	0	0	0
0	0	0	0	6.595692	0	0	5.0035496	6.0731907	7.3987164	0	0	0	0	0	0	3.8556046	1.2543309	0	0	0	0	0.6828249	0	3.604394	0	7.0742693	0	0	0	12.699157	0	0	0	7.609274	0	0	0	0	10.334215	8.130135	0.4249084	0	0	0	0	0	0	0
0	0	0	0	4.9240427	0.38919514	0	3.6719737	3.634391	4.8404303	0	0	0	0	0	0	2.8489444	1.4246368	0	0	0	0	0.36783314	0	3.2897534	0	6.104809	0	0.33006877	0	10.211819	0	0	0	3.3686934	0	0	0	0	9.691576	7.9745893	0.20651394	0	0	0	0	0	0	0
